"idx","name_kr","party","when_elected","total","attend","absense","leave"
773,"이완영","새누리당","초선( 19대 )",135,126,0,9
774,"박성호","새누리당","초선( 19대 )",135,135,0,0
776,"김성찬","새누리당","초선( 19대 )",135,112,23,0
777,"박대출","새누리당","초선( 19대 )",135,135,0,0
778,"민홍철","더불어민주당","초선( 19대 )",135,135,0,0
779,"김한표","새누리당","초선( 19대 )",135,135,0,0
780,"윤영석","새누리당","초선( 19대 )",135,126,0,9
784,"이종훈","새누리당","초선( 19대 )",135,135,0,0
785,"전하진","새누리당","초선( 19대 )",135,117,0,18
786,"김경협","더불어민주당","초선( 19대 )",135,135,0,0
787,"이언주","더불어민주당","초선( 19대 )",135,135,0,0
789,"전해철","더불어민주당","초선( 19대 )",135,135,0,0
790,"김명연","새누리당","초선( 19대 )",135,130,5,0
791,"부좌현","더불어민주당","초선( 19대 )",135,135,0,0
792,"유은혜","더불어민주당","초선( 19대 )",135,135,0,0
793,"송호창","더불어민주당","초선( 19대 )",135,135,0,0
794,"이원욱","더불어민주당","초선( 19대 )",135,131,0,4
795,"함진규","새누리당","초선( 19대 )",135,116,5,14
796,"이학영","더불어민주당","초선( 19대 )",135,125,0,10
797,"이현재","새누리당","초선( 19대 )",135,135,0,0
798,"윤후덕","더불어민주당","초선( 19대 )",135,135,0,0
799,"이우현","새누리당","초선( 19대 )",135,126,0,9
800,"김민기","더불어민주당","초선( 19대 )",135,135,0,0
801,"유승우","무소속","초선( 19대 )",135,90,45,0
802,"민병주","새누리당","초선( 19대 )",135,112,18,5
803,"김정록","새누리당","초선( 19대 )",135,121,14,0
804,"윤명희","새누리당","초선( 19대 )",135,135,0,0
805,"조명철","새누리당","초선( 19대 )",135,135,0,0
806,"강은희","새누리당","초선( 19대 )",135,135,0,0
807,"주영순","새누리당","초선( 19대 )",135,63,22,50
808,"신의진","새누리당","초선( 19대 )",135,125,5,5
809,"이상일","새누리당","초선( 19대 )",135,135,0,0
810,"이에리사","새누리당","초선( 19대 )",135,99,36,0
811,"이만우","새누리당","초선( 19대 )",135,49,0,86
814,"김장실","새누리당","초선( 19대 )",135,126,0,9
815,"이자스민","새누리당","초선( 19대 )",135,126,9,0
816,"최봉홍","새누리당","초선( 19대 )",135,130,5,0
817,"류지영","새누리당","초선( 19대 )",135,125,0,10
818,"송영근","새누리당","초선( 19대 )",135,108,27,0
819,"민현주","새누리당","초선( 19대 )",135,121,14,0
820,"박창식","새누리당","초선( 19대 )",135,94,41,0
821,"손인춘","새누리당","초선( 19대 )",135,125,5,5
822,"김상민","새누리당","초선( 19대 )",135,135,0,0
824,"신경림","새누리당","초선( 19대 )",135,126,0,9
825,"전순옥","더불어민주당","초선( 19대 )",135,117,0,18
826,"최동익","더불어민주당","초선( 19대 )",135,122,4,9
827,"은수미","더불어민주당","초선( 19대 )",135,135,0,0
828,"홍종학","더불어민주당","초선( 19대 )",135,117,18,0
829,"진선미","더불어민주당","초선( 19대 )",135,135,0,0
830,"김용익","더불어민주당","초선( 19대 )",135,126,9,0
831,"배재정","더불어민주당","초선( 19대 )",135,126,0,9
832,"백군기","더불어민주당","초선( 19대 )",135,135,0,0
833,"남인순","더불어민주당","초선( 19대 )",135,135,0,0
834,"김광진","더불어민주당","초선( 19대 )",135,126,9,0
835,"한정애","더불어민주당","초선( 19대 )",135,135,0,0
836,"김기준","더불어민주당","초선( 19대 )",135,135,0,0
837,"장하나","더불어민주당","초선( 19대 )",135,117,0,18
838,"김기식","더불어민주당","초선( 19대 )",135,126,0,9
839,"도종환","더불어민주당","초선( 19대 )",135,130,0,5
840,"김현","더불어민주당","초선( 19대 )",135,135,0,0
841,"진성준","더불어민주당","초선( 19대 )",135,126,9,0
842,"최민희","더불어민주당","초선( 19대 )",135,135,0,0
843,"홍의락","더불어민주당","초선( 19대 )",135,112,0,23
844,"임수경","더불어민주당","초선( 19대 )",135,98,0,37
845,"문정림","새누리당","초선( 19대 )",135,135,0,0
849,"정진후","정의당","초선( 19대 )",135,126,9,0
850,"김제남","정의당","초선( 19대 )",135,121,9,5
851,"박원석","정의당","초선( 19대 )",135,108,0,27
854,"이재영","새누리당","초선( 19대 )",135,107,28,0
855,"서기호","정의당","초선( 19대 )",135,126,9,0
856,"이운룡","새누리당","초선( 19대 )",135,117,18,0
857,"안철수","무소속","초선( 19대 )",135,122,0,13
858,"박명재","새누리당","초선( 19대 )",135,126,9,0
859,"황인자","새누리당","초선( 19대 )",135,122,13,0
860,"박윤옥","새누리당","초선( 19대 )",135,135,0,0
861,"양창영","새누리당","초선( 19대 )",135,126,9,0
863,"배덕광","새누리당","초선( 19대 )",135,117,0,18
865,"정용기","새누리당","초선( 19대 )",135,126,0,9
866,"박맹우","새누리당","초선( 19대 )",135,135,0,0
867,"김용남","새누리당","초선( 19대 )",135,135,0,0
868,"박광온","더불어민주당","초선( 19대 )",135,135,0,0
